protein_id,protein_name,nsnp,b,se,pval,fdr_q,bonf_thresh,bonf_sig,or
17756_69_DCTD_DCTD,DCTD,2,-0.0209554737399981,0.0956246286636663,0.826538608823888,0.978745559831011,2.94985250737463e-05,FALSE,0.979262566498383
3232_28_ACP5_TrATPase,ACP5,2,0.0204330053526576,0.0932407798872688,0.826539147435769,0.978745559831011,2.94985250737463e-05,FALSE,1.02064318832221
12697_30_PIP4K2A_PI42A,PIP4K2A,1,0.0186321829855538,0.0856404494382023,0.827769707659429,0.978745559831011,2.94985250737463e-05,FALSE,1.0188068452
6955_68_SNX1_SNX1,SNX1,1,-0.0141829777471897,0.065351686166552,0.828188527460977,0.978745559831011,2.94985250737463e-05,FALSE,0.985917126862392
6909_40_MGAT2_MGAT2,MGAT2,1,0.0152703816793893,0.0706943511450382,0.828983316904674,0.978745559831011,2.94985250737463e-05,FALSE,1.0153875696998
18340_2_PSMB4_Proteasome_beta_chain,PSMB4,3,0.00752530029925735,0.0348971849207819,0.82926678007844,0.978745559831011,2.94985250737463e-05,FALSE,1.00755368653185
9177_6_FAM3B_FAM3B,FAM3B,6,-0.00985071709125245,0.0458110182499207,0.829744374251234,0.978745559831011,2.94985250737463e-05,FALSE,0.990197642300526
15622_13_OPCML_OBCAM,OPCML,3,-0.0155362992627469,0.0725132473681105,0.830348493481787,0.978745559831011,2.94985250737463e-05,FALSE,0.984583766438229
3488_64_CAT_Catalase,CAT,2,0.0104296283710023,0.048808153854868,0.830791782466677,0.978745559831011,2.94985250737463e-05,FALSE,1.01048420652324
4188_1_AKR7A2_Aflatoxin_B1_aldehyde_reductase,AKR7A2,1,-0.0140786657859974,0.066392998678996,0.832067669403789,0.978745559831011,2.94985250737463e-05,FALSE,0.986019975175529
5452_71_ASGR1_ASGR1,ASGR1,2,0.0176983140684546,0.0840599705545691,0.833243191868229,0.978745559831011,2.94985250737463e-05,FALSE,1.01785585727288
14107_1_MTHFS_MTHFS,MTHFS,5,-0.00649953016642212,0.0309121681797891,0.833466326072736,0.978745559831011,2.94985250737463e-05,FALSE,0.993521546093121
