protein_id,protein_name,source,nsnp_exp,nsnp_used,ivw_b,ivw_se,ivw_pval,wm_b,wm_se,wm_pval,egg_b,egg_se,egg_pval,het_q,het_q_df,het_q_pval,egg_int,egg_int_se,egg_int_pval,bonf_thresh,bonf_sig,fdr_q,or,or_lci95,or_uci95,z
prot-c-3221_54_1,"",prot-c,2,2,0.0367713224346605,0.0316603430042474,0.245466429505241,,,,,,,0.18739648632887,1,0.665092390782755,,,,1.15048320294524e-05,FALSE,0.976535069110844,1.03745575085478,0.975033987269723,1.10387376136039,1.16143158745082
prot-a-2041,"NFU1 iron-sulfur cluster scaffold homolog, mitochondrial",prot-a,25,24,-0.0228720795765339,0.0197006089215115,0.245648657492282,-0.012146739153224,0.0265577498016444,0.647404551944768,-0.0627914535423887,0.0468018877676918,0.194040514627867,24.9042878450423,21,0.251333261240208,0.00794353082140226,0.00844302852004416,0.357484914809789,1.15048320294524e-05,FALSE,0.976535069110844,0.977387503600163,0.940366794360277,1.01586565787197,-1.16098338217147
prot-a-1421,Interferon alpha-4,prot-a,26,23,-0.023984249831988,0.0206757760436749,0.246041921504949,-0.00827654867821339,0.0259014475849479,0.749317060868904,0.0405090608319739,0.0495378482565099,0.422687560028199,29.0927154150819,21,0.111793310604225,-0.0129012234384061,0.00904765128868996,0.168588362974967,1.15048320294524e-05,FALSE,0.976535069110844,0.976301086542959,0.937527891283616,1.01667781881128,-1.16001690970749
prot-c-3348_49_2,"",prot-c,3,3,0.0341866951815148,0.0294835980047541,0.246246035177028,0.036797216589679,0.0337441735670745,0.275503452208031,0.0454752204893096,0.0771871781900287,0.661059079936923,0.171904923955563,1,0.678424360965671,-0.00428794140868325,0.0270962909076936,0.900084563365695,1.15048320294524e-05,FALSE,0.976535069110844,1.03477777672046,0.976675172231302,1.09633691695906,1.15951571365212
prot-c-4564_2_2,"",prot-c,7,7,0.0156593406660579,0.0135094193266859,0.246398147699491,0.0329568739285349,0.0151794188411879,0.0299194436606024,0.0654202940200073,0.0357244283145071,0.126564288183801,6.13713942097278,5,0.293102497014287,-0.0225186654746645,0.0151731659034657,0.197899769330358,1.15048320294524e-05,FALSE,0.976535069110844,1.01578259063848,0.989239194978216,1.04303820216802,1.15914239445697
prot-a-940,EMILIN-3,prot-a,22,19,0.0210574644704829,0.0182057771519616,0.247420945764026,0.018690551667342,0.0253405740061678,0.46077328460674,0.0155798023242408,0.0492919156645352,0.755795414487245,13.6296834346057,17,0.693119749499542,0.00111183274203649,0.00929762594844972,0.906215759687225,1.15048320294524e-05,FALSE,0.976535069110844,1.02128073730813,0.985480579575545,1.05838142933863,1.15663639594831
prot-a-2864,AMSH-like protease,prot-a,24,22,-0.0259234126885061,0.0224184183303679,0.247540310487668,0.00146396074144894,0.0277055739324744,0.957859441948099,-0.0387996322723881,0.0533206268538474,0.476177266005804,30.075060937712,18,0.0367230991632519,0.00270061406194579,0.0100906723469977,0.792023155407047,1.15048320294524e-05,FALSE,0.976535069110844,0.974409714171367,0.932521088584347,1.0181799668605,-1.15634440871283
prot-a-988,Endothelial cell-selective adhesion molecule,prot-a,30,29,0.0165053464524001,0.0142745640795512,0.247567978328077,0.0305261244095942,0.0185748519142988,0.100297831679489,0.0533163145980052,0.0288547501389509,0.0760466078434213,29.1431559754644,26,0.304612404359005,-0.00842469844358495,0.00577625913622322,0.15667713622485,1.15048320294524e-05,FALSE,0.976535069110844,1.01664231220126,0.988592762452041,1.04548771770728,1.15627674235212
prot-a-2783,Submaxillary gland androgen-regulated protein 3B,prot-a,24,22,0.0208368190456835,0.0180255443964845,0.247697274848287,0.0370706312206223,0.0235921048546154,0.116109469366319,0.0438160272110268,0.03402093262885,0.21247892473771,23.8167384956915,20,0.250489105765615,-0.0057605379144119,0.00720828727433307,0.43358945014893,1.15048320294524e-05,FALSE,0.976535069110844,1.0210554212444,0.985611273585397,1.05777419677844,1.15596059610534
prot-a-845,DnaJ homolog subfamily C member 17,prot-a,21,20,-0.0192514461285909,0.0166542986947696,0.247703830777307,-0.00034264403934863,0.0238277763418014,0.98852679481964,0.0183486909124324,0.0365233078362845,0.621488589630735,20.1408925004394,18,0.324943634376161,-0.0100304524013548,0.00869081465264917,0.263535299406152,1.15048320294524e-05,FALSE,0.976535069110844,0.980932679505726,0.949429622971209,1.01348104002803,-1.15594456911218
prot-a-3159,NKG2D ligand 1,prot-a,17,16,0.0310241994183691,0.0268411950295521,0.247745502449943,0.022731557998453,0.0296415483181487,0.443151914516354,0.0669654881616601,0.0545068516828708,0.23948580138819,23.9057555486603,14,0.0470372795845806,-0.00860358180723074,0.0113035449918947,0.459202805957378,1.15048320294524e-05,FALSE,0.976535069110844,1.0315104655378,0.9786467363976,1.08722974383039,1.15584270313641
